web-scraper-order,web-scraper-start-url,player,player-href,self-win,r-top,r-top-href,r-jungle,r-jungle-href,r-mid,r-mid-href,r-bot,r-bot-href,r-sup,r-sup-href,b-top,b-top-href,b-jungle,b-jungle-href,b-mid,b-mid-href,b-bot,b-bot-href,b-sup,b-sup-href,self-champ,self-champ-href
1664079369-80,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,16,https://na.op.gg/champions/darius,17,https://na.op.gg/champions/kayn,18,https://na.op.gg/champions/swain,16,https://na.op.gg/champions/twitch,15,https://na.op.gg/champions/lux,16,https://na.op.gg/champions/sett,15,https://na.op.gg/champions/diana,15,https://na.op.gg/champions/garen,16,https://na.op.gg/champions/samira,,,17,https://na.op.gg/champions/evelynn
1664080105-81,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,,,,,,,,,,,,,,,,,,,,,13,https://na.op.gg/champions/evelynn
1664080105-82,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,13,https://na.op.gg/champions/udyr,,,14,https://na.op.gg/champions/katarina,13,https://na.op.gg/champions/caitlyn,10,https://na.op.gg/champions/thresh,13,https://na.op.gg/champions/ornn,11,https://na.op.gg/champions/graves,12,https://na.op.gg/champions/orianna,10,https://na.op.gg/champions/tristana,10,https://na.op.gg/champions/braum,13,https://na.op.gg/champions/evelynn
1664080105-83,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,,,,,,,,,,,,,,,,,,,,,7,https://na.op.gg/champions/janna
1664080105-84,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,12,https://na.op.gg/champions/mordekaiser,10,https://na.op.gg/champions/masteryi,10,https://na.op.gg/champions/heimerdinger,10,https://na.op.gg/champions/missfortune,9,https://na.op.gg/champions/karma,8,https://na.op.gg/champions/fiora,9,https://na.op.gg/champions/amumu,11,https://na.op.gg/champions/vladimir,7,https://na.op.gg/champions/senna,,,7,https://na.op.gg/champions/janna
1664080105-85,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,,,,,,,,,,,,,,,,,,,,,14,https://na.op.gg/champions/janna
1664080105-86,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,17,https://na.op.gg/champions/aatrox,17,https://na.op.gg/champions/elise,16,https://na.op.gg/champions/heimerdinger,15,https://na.op.gg/champions/kaisa,15,https://na.op.gg/champions/sona,15,https://na.op.gg/champions/teemo,15,https://na.op.gg/champions/graves,16,https://na.op.gg/champions/cassiopeia,15,https://na.op.gg/champions/senna,,,14,https://na.op.gg/champions/janna
1664080105-87,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,,,,,,,,,,,,,,,,,,,,,11,https://na.op.gg/champions/soraka
1664080105-88,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,14,https://na.op.gg/champions/urgot,15,https://na.op.gg/champions/reksai,14,https://na.op.gg/champions/vex,14,https://na.op.gg/champions/jhin,,,13,https://na.op.gg/champions/renekton,12,https://na.op.gg/champions/elise,12,https://na.op.gg/champions/viktor,12,https://na.op.gg/champions/caitlyn,10,https://na.op.gg/champions/amumu,11,https://na.op.gg/champions/soraka
1664080105-89,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,,,,,,,,,,,,,,,,,,,,,16,https://na.op.gg/champions/soraka
1664080105-90,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,18,https://na.op.gg/champions/urgot,18,https://na.op.gg/champions/talon,16,https://na.op.gg/champions/ahri,16,https://na.op.gg/champions/jhin,16,https://na.op.gg/champions/bard,18,https://na.op.gg/champions/renekton,17,https://na.op.gg/champions/shaco,18,https://na.op.gg/champions/sylas,17,https://na.op.gg/champions/kaisa,,,16,https://na.op.gg/champions/soraka
1664080105-91,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,,,,,,,,,,,,,,,,,,,,,12,https://na.op.gg/champions/soraka
1664080105-92,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,18,https://na.op.gg/champions/sion,15,https://na.op.gg/champions/udyr,17,https://na.op.gg/champions/zed,16,https://na.op.gg/champions/zeri,12,https://na.op.gg/champions/nautilus,17,https://na.op.gg/champions/sett,14,https://na.op.gg/champions/leesin,15,https://na.op.gg/champions/malzahar,15,https://na.op.gg/champions/jhin,,,12,https://na.op.gg/champions/soraka
1664080105-93,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,,,,,,,,,,,,,,,,,,,,,13,https://na.op.gg/champions/soraka
1664080105-94,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,18,https://na.op.gg/champions/sejuani,16,https://na.op.gg/champions/elise,17,https://na.op.gg/champions/kaisa,18,https://na.op.gg/champions/zed,15,https://na.op.gg/champions/sona,16,https://na.op.gg/champions/sett,16,https://na.op.gg/champions/karthus,15,https://na.op.gg/champions/qiyana,15,https://na.op.gg/champions/vayne,,,13,https://na.op.gg/champions/soraka
1664080105-95,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,,,,,,,,,,,,,,,,,,,,,12,https://na.op.gg/champions/soraka
1664080105-96,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,15,https://na.op.gg/champions/akshan,14,https://na.op.gg/champions/talon,14,https://na.op.gg/champions/seraphine,14,https://na.op.gg/champions/kaisa,,,14,https://na.op.gg/champions/gragas,14,https://na.op.gg/champions/khazix,13,https://na.op.gg/champions/zed,13,https://na.op.gg/champions/draven,10,https://na.op.gg/champions/rell,12,https://na.op.gg/champions/soraka
1664080105-97,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,,,,,,,,,,,,,,,,,,,,,12,https://na.op.gg/champions/soraka
1664080105-98,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,15,https://na.op.gg/champions/kayle,14,https://na.op.gg/champions/reksai,14,https://na.op.gg/champions/sylas,14,https://na.op.gg/champions/sivir,,,12,https://na.op.gg/champions/monkeyking,13,https://na.op.gg/champions/ekko,13,https://na.op.gg/champions/yone,12,https://na.op.gg/champions/varus,10,https://na.op.gg/champions/blitzcrank,12,https://na.op.gg/champions/soraka
1664080105-99,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,,,,,,,,,,,,,,,,,,,,,8,https://na.op.gg/champions/soraka
1664080105-100,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,13,https://na.op.gg/champions/jax,12,https://na.op.gg/champions/zac,12,https://na.op.gg/champions/yone,12,https://na.op.gg/champions/kaisa,10,https://na.op.gg/champions/renata,12,https://na.op.gg/champions/sett,11,https://na.op.gg/champions/nidalee,12,https://na.op.gg/champions/xerath,9,https://na.op.gg/champions/twitch,,,8,https://na.op.gg/champions/soraka
1664080105-101,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,,,,,,,,,,,,,,,,,,,,,15,https://na.op.gg/champions/soraka
1664080105-102,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,16,https://na.op.gg/champions/gwen,17,https://na.op.gg/champions/leesin,16,https://na.op.gg/champions/vex,17,https://na.op.gg/champions/caitlyn,,,16,https://na.op.gg/champions/darius,14,https://na.op.gg/champions/nunu,16,https://na.op.gg/champions/maokai,15,https://na.op.gg/champions/ezreal,13,https://na.op.gg/champions/yuumi,15,https://na.op.gg/champions/soraka
1664080105-103,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,,,,,,,,,,,,,,,,,,,,,12,https://na.op.gg/champions/soraka
1664080105-104,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,16,https://na.op.gg/champions/graves,14,https://na.op.gg/champions/vi,14,https://na.op.gg/champions/ahri,14,https://na.op.gg/champions/ezreal,,,15,https://na.op.gg/champions/ziggs,13,https://na.op.gg/champions/kindred,14,https://na.op.gg/champions/fiora,12,https://na.op.gg/champions/draven,11,https://na.op.gg/champions/senna,12,https://na.op.gg/champions/soraka
1664080105-105,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,,,,,,,,,,,,,,,,,,,,,9,https://na.op.gg/champions/soraka
1664080105-106,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,14,https://na.op.gg/champions/ornn,13,https://na.op.gg/champions/elise,14,https://na.op.gg/champions/zed,13,https://na.op.gg/champions/brand,11,https://na.op.gg/champions/senna,12,https://na.op.gg/champions/warwick,12,https://na.op.gg/champions/viego,12,https://na.op.gg/champions/vladimir,10,https://na.op.gg/champions/vayne,,,9,https://na.op.gg/champions/soraka
1664080105-107,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,,,,,,,,,,,,,,,,,,,,,14,https://na.op.gg/champions/soraka
1664080105-108,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,18,https://na.op.gg/champions/mordekaiser,17,https://na.op.gg/champions/lillia,18,https://na.op.gg/champions/yasuo,17,https://na.op.gg/champions/kogmaw,15,https://na.op.gg/champions/sona,16,https://na.op.gg/champions/riven,16,https://na.op.gg/champions/kindred,17,https://na.op.gg/champions/morgana,15,https://na.op.gg/champions/samira,,,14,https://na.op.gg/champions/soraka
1664080105-109,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,,,,,,,,,,,,,,,,,,,,,13,https://na.op.gg/champions/lulu
1664080105-110,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,13,https://na.op.gg/champions/gnar,14,https://na.op.gg/champions/leesin,14,https://na.op.gg/champions/viktor,15,https://na.op.gg/champions/tristana,,,12,https://na.op.gg/champions/camille,13,https://na.op.gg/champions/sejuani,13,https://na.op.gg/champions/sylas,11,https://na.op.gg/champions/varus,10,https://na.op.gg/champions/trundle,13,https://na.op.gg/champions/lulu
1664080105-111,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,,,,,,,,,,,,,,,,,,,,,14,https://na.op.gg/champions/lulu
1664080105-112,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,17,https://na.op.gg/champions/sylas,17,https://na.op.gg/champions/rengar,18,https://na.op.gg/champions/jax,16,https://na.op.gg/champions/ezreal,15,https://na.op.gg/champions/ashe,18,https://na.op.gg/champions/shen,17,https://na.op.gg/champions/elise,17,https://na.op.gg/champions/viego,16,https://na.op.gg/champions/jinx,,,14,https://na.op.gg/champions/lulu
1664080105-113,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,,,,,,,,,,,,,,,,,,,,,13,https://na.op.gg/champions/soraka
1664080105-114,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,15,https://na.op.gg/champions/darius,14,https://na.op.gg/champions/skarner,13,https://na.op.gg/champions/syndra,15,https://na.op.gg/champions/twitch,,,13,https://na.op.gg/champions/mordekaiser,13,https://na.op.gg/champions/fiddlesticks,15,https://na.op.gg/champions/nasus,12,https://na.op.gg/champions/seraphine,10,https://na.op.gg/champions/ashe,13,https://na.op.gg/champions/soraka
1664080105-115,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,,,,,,,,,,,,,,,,,,,,,13,https://na.op.gg/champions/soraka
1664080105-116,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Defeat,16,https://na.op.gg/champions/shen,17,https://na.op.gg/champions/talon,17,https://na.op.gg/champions/cassiopeia,17,https://na.op.gg/champions/ezreal,14,https://na.op.gg/champions/maokai,17,https://na.op.gg/champions/sejuani,15,https://na.op.gg/champions/leesin,16,https://na.op.gg/champions/sylas,14,https://na.op.gg/champions/ashe,,,13,https://na.op.gg/champions/soraka
1664080105-117,https://na.op.gg/leaderboards/champions?region=na,SIutty Tadpole,https://na.op.gg/summoners/na/SIutty%20Tadpole,Victory,,,,,,,,,,,,,,,,,,,,,18,https://na.op.gg/champions/evelynn
